QUEST_LV_0400_20180327_000023	這應該是目前最有效的方法了,不過不知道會花多久時間呢.{nl}說不定幾天以後會有反應也說不定喔!	이게 가장 확실한 방법이지만 시간이 얼마나 걸릴지 알 수 없어요.{nl}어쩌면 며칠 후에나 반응이 있을지도 모르죠.				유그리나스
QUEST_LV_0400_20180327_000024	都安裝好了嗎?{nl}我們就慢慢等吧!	잘 설치하고 오셨나요?{nl}이제 반응이 있기를 기다려야겠군요.				유그리나스
QUEST_LV_0400_20180327_000025	在等待傳染病感應石有反應的同時,來去做別的調查吧.{nl}因為不知道何時會有反應啊!{nl}	역병 감지석에 반응이 있을 때까지 다른 조사를 해보는 게 좋겠어요.{nl}언제 반응이 있을지 알 수 없으니까요.{nl}				유그리나스
QUEST_LV_0400_20180327_000026	我要去諾貝禮爾森林採集植物標本.{nl}下層運輸地那裏有兩個行李放在那裏,打開應該就可以找到植物標本採集道具.{nl}	노브리어 숲에 있는 식물들에서 표본을 채집해보도록 하죠.{nl}하부 운송지쪽에 둔 짐 중에 식물 표본채집 도구가 있을 거예요.{nl}				유그리나스
QUEST_LV_0400_20180327_000027	希凱斯得到傳染並整個人精神渙散,沒辦法好好整理.{nl}你用植物標本採集道具去採集標本吧!	시카스가 역병에 걸리는 통에 정신이 없어서 제대로 정리하지 못했거든요.{nl}식물 표본채집 도구를 찾아서 표본을 채집해주세요.				유그리나스
QUEST_LV_0400_20180327_000028	找到植物標本採集道具就到諾貝禮爾瀑布那裏去收集植物標本吧.{nl}只要收集草或著是樹根之類的東西就可以了.	식물 표본채집 도구를 찾고 나면 노브리어 폭포에 가서 식물 표본을 모아주세요.{nl}풀이나 나무뿌리 같은 것들을 모아주시면 됩니다.				유그리나스
QUEST_LV_0400_20180327_000029	從植物標本上沒找到甚麼的話就得調查怪物了.	식물 표본에서 아무것도 찾지 못하면 몬스터들도 조사해봐야겠어요.				유그리나스
QUEST_LV_0400_20180327_000030	你把植物標本帶來了嗎?{nl}	식물 표본은 잘 가져오셨나요?{nl}				유그리나스
QUEST_LV_0400_20180327_000031	我看看..{nl}這裡也找不到甚麼特別的東西.	어디 보자..{nl}여기서도 특이한 건 찾을 수 없군요.				유그리나스
QUEST_LV_0400_20180327_000032	得去看看怪物標本了.{nl}再幫我一下吧!{nl}	아무래도 몬스터의 표본도 살펴봐야겠어요.{nl}조금만 더 도와주세요.{nl}				유그리나스
QUEST_LV_0400_20180327_000033	怪物的標本得用特殊藥品來進行採集.{nl}原本是在希凱斯身上,情急之下就忘在調查的地方了.{nl}	몬스터의 표본은 특별한 약품을 이용해서 채집해야해요.{nl}원래는 시카스가 가지고 있었는데 지금 이 지경이 되는 바람에 조사하던 곳에 두고 왔네요.{nl}				유그리나스
QUEST_LV_0400_20180327_000034	到神樹石橋去的話可以找到希凱斯用過的特殊溶液與標本保存瓶.{nl}原本就忙翻了結果現在卻一點也想不起來放在哪裡呢.	거목 징검다리에 가면 시카스가 사용하던 특수 용액과 표본 보존병이 있을 겁니다.{nl}워낙 정신이 없었던 터라 어디에 뒀는지 정확하게는 기억이 나지 않네요.				유그리나스
QUEST_LV_0400_20180327_000035	想找到特殊溶液與標本保存瓶必須到上層運輸地去.{nl}對那邊的怪物潑灑特殊溶液然後再消滅牠們就可以囉.{nl}	특수 용액과 표본 보존병을 찾으시면 상부 운송지로 가세요.{nl}그곳에 있는 몬스터에게 특수 용액을 뿌리고 처치하시면 됩니다.{nl}				유그리나스
QUEST_LV_0400_20180327_000036	怪物死掉以後細胞硬化就無法得到正確資訊了.{nl}所以必須防止特殊溶液使細胞硬化.	몬스터가 죽으면 세포가 굳어버려서 정확한 정보를 얻을 수가 없거든요.{nl}그래서 특수 용액으로 세포가 굳는 것을 방지해야 하죠.				유그리나스
QUEST_LV_0400_20180327_000037	希望我們忙碌的同時傳染病感應石已經產生反應了.	그동안에 역병 감지석에 뭔가 반응이 있으면 좋을 텐데요.				유그리나스
QUEST_LV_0400_20180327_000038	喔,保存得很好嘛!{nl}我看看..{nl}	오, 제대로 보존되어 있군요.{nl}어디보자..{nl}				유그리나스
QUEST_LV_0400_20180327_000039	嗯.. 好像有感應到甚麼氣息的樣子..{nl}光用這個難道還不夠..{nl}	음.. 뭔가 기운이 있는 것 같기는 한데..{nl}이것만으로는 확실하게 알 수 없겠어요..{nl}				유그리나스
QUEST_LV_0400_20180327_000040	也不確定是不是跟諾貝禮爾的傳染病有沒有關聯性呢!{nl}得回去好好調查了!	노브리어의 역병과 관계있는 것인지도 애매하고요.{nl}이건 돌아가서 자세하게 알아봐야겠어요.				유그리나스
QUEST_LV_0400_20180327_000041	現在應該可以去確認傳染病感應石有沒有感應到甚麼了吧!{nl}幫我把安裝在諾貝禮爾十字路口的傳染病感應石帶給我吧.	이제 역병 감지석에 뭔가 감지된 게 있는지 확인해 봐도 될 것 같습니다.{nl}노브리어 사거리에 설치해둔 역병 감지석을 가져와 주세요.				유그리나스
QUEST_LV_0400_20180327_000042	希望會有反應啊..	부디 뭔가 반응이 있으면 좋겠는데요..				유그리나스
QUEST_LV_0400_20180327_000043	要是傳染病感應石甚麼反應都沒有的話,我們起不就等於兩收空空回去了嗎?{nl}那些傳染病患者又該怎麼辦呢..	역병 감지석에도 아무런 반응이 없다면 빈손으로 돌아가게 되겠죠.{nl}갑자기 역병에 걸린 환자들은 어쩐다..				유그리나스
QUEST_LV_0400_20180327_000044	甚麼? {nl}你說你看當那股不祥的氣息正朝往避難營那裏去嗎? 	네? {nl}불길한 기운이 느껴지는 존재가 피난로 쪽으로 가는 걸 봤다고요?				유그리나스
QUEST_LV_0400_20180327_000045	從你帶來的傳染病感應石上我也感受到一股很強大的訊息呢!{nl}跟瘟神的氣息很類似..又有些許不同.{nl}	가져오신 역병 감지석에도 엄청난 기운이 느껴져요.{nl}역병의 기운과 비슷한데.. 조금 달라요.{nl}				유그리나스
QUEST_LV_0400_20180327_000046	更強大也更令人害怕的氣息呢!{nl}這麼一來在諾貝禮爾十字路口目睹的有可能就是傳染病的真面目了呢!{nl}	훨씬 강하고 기분 나쁜 기운이군요.{nl}어쩌면 노브리어 사거리에서 보신 게 역병의 정체일 수도 있겠어요.{nl}				유그리나스
QUEST_LV_0400_20180327_000047	你這樣一說我才想到有聽說過以前關於瘟神的故事呢.{nl}以前的人認為瘟神就是災難及不幸的象徵.{nl}	그러고 보니 예전에 역귀에 대해서 들은 적이 있네요.{nl}사람들에게 재앙과 불행을 가져오는 어두운 존재라고요.{nl}				유그리나스
QUEST_LV_0400_20180327_000048	如果傳染病的真面目就是瘟神的話.. 這樣真的很危險呢!{nl}勸你小心點.	혹시 그것의 정체가 역귀라면.. 위험할지도 몰라요.{nl}조심하시는 게 좋겠어요.				유그리나스
QUEST_LV_0400_20180327_000049	還是要小心啊!{nl}瘟神可是很可怕的啊!	그래도 조심하세요.{nl}정말로 역귀라면 굉장히 위험할 수도 있으니까요.				유그리나스
QUEST_LV_0400_20180327_000050	說不定可以從瘟神身上獲得甚麼可以治療傳染病的線索喔!	어쩌면 역귀에게서 역병을 치료할 단서를 얻을 수 있을지도 모르겠네요.				유그리나스
QUEST_LV_0400_20180327_000051	你真的把瘟神消滅了嗎?{nl}	정말로 역귀를 처치하신 건가요?{nl}				유그리나스
QUEST_LV_0400_20180327_000052	而且,這就是瘟神的核心啊!{nl}這一定就是傳染病產生的最終源頭了.{nl}	게다가 이건 역귀의 핵이군요.{nl}틀림없이 이게 역병의 원인일 거예요.{nl}				유그리나스
QUEST_LV_0400_20180327_000053	把這個拿給瘟疫醫生大師他一定能製作出治療藥劑的.{nl}謝謝你了.{nl}	이걸 플레이그 닥터 마스터께 가져다드리면 분명 치료제를 만들 수 있을 겁니다.{nl}정말 고맙습니다.{nl}				유그리나스
QUEST_LV_0400_20180327_000054	剛好支援的人都到了呢!{nl}希凱斯狀況越來越不好了,趕快出發回去吧!{nl}	마침 지원을 요청했던 사람도 도착했어요.{nl}시카스의 상태도 좋지 않으니 저는 서둘러서 돌아가 보겠습니다.{nl}				유그리나스
QUEST_LV_0400_20180327_000055	我不會忘記你的幫忙會好好轉達的.{nl}你拯救了那些被諾貝禮爾傳染病折磨個半死的患者們啊!	당신의 도움은 반드시 잊지 않고 전하도록 할게요.{nl}노브리어 역병에 고통받는 사람들을 구원한 은인이시니까요.				유그리나스
QUEST_LV_0400_20180327_000056	這裡是疫病發病的地方。{nl}很危險，請快離開。	이곳은 위험한 역병이 발병한 곳입니다.{nl}위험하니 빨리 벗어나세요.				유그리나스
QUEST_LV_0400_20180327_000057	就算是為了苦於諾貝禮爾疫病的人們著想，一定得找出線索。	노브리어 역병에 고통받고 있는 사람들을 생각해서라도 반드시 단서를 찾아야 합니다.				유그리나스
QUEST_LV_0400_20180327_000058	奎波爾 蕾妮亞	큐폴 레냐				
QUEST_LV_0400_20180327_000059	我是過去服侍拉伊瑪女神的奎波爾。{nl}聽從她的意思，正在此等待機會到來。	저는 라이마 여신을 모시던 큐폴이에요.{nl}그녀의 뜻에 따라 이곳에서 때가 오길 기다리고 있죠.				큐폴 레냐
QUEST_LV_0400_20180327_000060	很久以前女神和魔族留下的誓約，當然不是單純的約定，有更深一層的意義。	먼 옛날 여신과 마족이 남긴 서약은 단순한 약속 이상의 의미가 있죠.				큐폴 레냐
QUEST_LV_0400_20180327_000061	我的其中一個角色如今要結束了呢。	제 역할 중 하나는 이제 곧 끝이군요.				큐폴 레냐
QUEST_LV_0400_20180327_000062	雖然後悔沒有認真聽拉伊瑪女神的話，但也不能就這樣什麼都不做。 {nl}畢竟世界還沒有末日阿。{nl}	라이마 여신의 말에 귀 기울이지 않은 것은 후회되지만 이대로 있을 수는 없죠.{nl}아직 세상이 완전히 끝난 건 아니니까요.{nl}				큐폴 레냐
QUEST_LV_0400_20180327_000063	依照她的話，救援者來到這地方，就像獲得誓約一樣，仍然會有能做的事。{nl}還是有希望的。	그녀의 말대로 구원자가 이곳에 오고 서약을 얻은 것처럼 아직 해볼 수 있는 일들이 있을 거예요.{nl}아직 희망은 있다는 거겠죠.				큐폴 레냐
QUEST_LV_0400_20180327_000064	歡迎光臨!!{nl}我們等您很久啦!!!救援者大人.{nl}我事負責侍奉拉伊瑪女神的奎波爾蕾妮亞.	어서오세요.{nl}기다리고 있었습니다, 구원자님.{nl}저는 라이마 여신을 모시던 큐폴 레냐라고 합니다.				큐폴 레냐
QUEST_LV_0400_20180327_000065	{nl}遠古以前,拉伊瑪女神就預言你終有一天會來到這裡的.{nl}而且她也提到她有東西有交給你.	{nl}천년보다도 훨씬 이전부터 라이마 여신은 당신이 이 곳에 오게 될 것을 예언하셨습니다.{nl}그리고 이 곳에서 당신께 전할 것이 있다고 하셨죠.				큐폴 레냐
QUEST_LV_0400_20180327_000066	{nl}那是很久以前發生的事情了.. 傳說中的女神與魔族的故事.{nl}為了要讓你可以面對那件事情我在這裡等你過來的	{nl}그것은 아주 먼 옛날의 진실.. 여신과 마족의 이야기라고 합니다.{nl}저는 당신이 그 진실을 마주할 수 있도록 이 곳에서 오래도록 당신을 기다려 온 것입니다.				큐폴 레냐
QUEST_LV_0400_20180327_000067	{nl}救援者啊!!完成她的新願吧,找回這裡過去的誓約確認過去所發生的事情吧!{nl}為了這整個世界,為了你, 還有為了4年前那些不相信女神的愚蠢之輩們吧...	{nl}구원자여, 그녀의 바람을 들어 이 곳에서 과거의 서약을 되찾고 먼 옛날의 진실을 확인하세요.{nl}세계를 위해서, 당신을 위해서, 그리고 사 년 전까지도 그녀를 믿지 못했던 어리석은 존재들을 위해서..				큐폴 레냐
QUEST_LV_0400_20180327_000068	拉伊瑪女神並沒有告訴我獲得誓約的方法.{nl}可能是深怕這個方法被不是救援者的人給知道吧.	라이마 여신은 저에게도 서약을 얻는 방법을 알려주지 않으셨습니다.{nl}구원자가 아닌 다른 존재에게 서약이 넘어가는 것을 염려하신 것이지요.				큐폴 레냐
QUEST_LV_0400_20180327_000069	{nl}拉伊瑪女神製作了寫有獲得誓約的方法 的預言之書.{nl}而且,女神說預言之書只有真正的救援者才能獲得.	{nl}라이마 여신은 서약을 얻을 수 있는 방법이 적힌 예언의 서라는 것을 만드셨습니다.{nl}그리고 예언의 서는 진정한 구원자만이 얻을 수 있도록 해 두셨죠.				큐폴 레냐
QUEST_LV_0400_20180327_000070	{nl}為了獲得預言之書,你必須證明你是真正的救援者才行.{nl}到弗拉納西斯泰之路那裏的3個預言石塔正明你是真正的救援者吧!	{nl}예언의 서를 얻기 위해선 진정한 구원자인지를 증명받아야 합니다.{nl}프라나시스테 길에 있는 세 개의 예언의 석탑에서 구원자임을 증명받으세요.				큐폴 레냐
QUEST_LV_0400_20180327_000071	{nl}如果是真正的救援者就可以獲得預言之書.	{nl}진정한 구원자라면 그 뒤에 예언의 서를 얻을 수 있을 것입니다.				큐폴 레냐
QUEST_LV_0400_20180327_000072	救援者必須獨自完成所有事情.{nl}我只是盡我的本分,把我該向你轉告的話轉達給你然後等待下一個只是而已.	모든 것은 구원자 스스로 하도록 되어 있어요.{nl}저는 그저 저에게 주어진 역할대로 당신에게 말을 전하고 기다릴 뿐이죠.				큐폴 레냐
QUEST_LV_0400_20180327_000073	找到預言之書了嗎?	예언의 서는 찾으셨나요?				큐폴 레냐
QUEST_LV_0400_20180327_000074	預言之書是用拉伊瑪 女神的力量製作而成的.{nl}因此光靠命運的力量是無法窺看內容的.{nl}	예언의 서는 라이마 여신의 힘으로 만들어졌습니다.{nl}그래서 운명의 힘으로만 내용을 볼 수 있답니다.{nl}				큐폴 레냐
QUEST_LV_0400_20180327_000075	基瑪斯之路那裏的命運的寶珠內含有她的力量.{nl}吸收命運的寶珠的力量,接著卻認預言之書的內容,並且照著做吧!{nl}	리키마스 길에 있는 운명의 보주에 그녀의 힘이 담겨있습니다.{nl}운명의 보주로부터 힘을 받아 예언의 서를 읽고 따르도록 하세요.{nl}				큐폴 레냐
QUEST_LV_0400_20180327_000076	現在我能做的,就只有等待你帶著誓約歸來而已.{nl}所有的事情都寫在預言之書上, 我會在尤德伊安的祭壇那等你. 	지금부터 제가 할 수 있는 일은 그저 당신이 서약을 얻어 돌아오는 것을 기다리는 일뿐입니다.{nl}모든 것은 예언의 서에 적혀 있으니, 저는 유데이안의 제단 쪽에서 기다리고 있겠습니다.				큐폴 레냐
QUEST_LV_0400_20180327_000077	前陣子魔族還在尤德伊安森林一帶徘徊.{nl}想必是覬覦這裡的誓約吧!	얼마 전부터 마족이 유데이안 숲을 돌아다니고 있습니다.{nl}이 곳에 존재하는 서약을 노리는 것일 테지요.				큐폴 레냐
QUEST_LV_0400_20180327_000078	{nl}大概是不希望誓約落入救援者手中吧!{nl}拉伊瑪女神說一切都準備好了只是怕..	{nl}아마도 서약이 구원자에게 넘어가는 것을 원치 않을 겁니다.{nl}라이마 여신께서 대비를 해 두셨다고는 하지만 혹시 모르니..				큐폴 레냐
QUEST_LV_0400_20180327_000079	{nl}要是遇上了魔族,希望能馬上處理掉他們.	{nl}혹시라도 마족을 마주치게 된다면 그 자리에서 처단하는 것이 좋겠습니다.				큐폴 레냐
QUEST_LV_0400_20180327_000080	我的角色只不過是要傳達拉伊瑪女神的要對你說的話,還有等待結果而已.{nl}你才是這一切的關鍵.{nl}	제 역할은 그저 당신에게 라이마 여신의 뜻을 전달하고 그 결과를 지켜보는 것입니다.{nl}모든 것은 당신에게 달려있어요.{nl}				큐폴 레냐
QUEST_LV_0400_20180327_000081	不過, 要小心那些覬覦誓約的魔族啊!	다만, 서약을 노리는 마족은 조심하십시오.				큐폴 레냐
QUEST_LV_0400_20180327_000082	女神的誓約, 魔族的誓約還有誓約的石板都入手囉!	여신의 서약, 마족의 서약 그리고 서약의 석판까지 모두 손에 넣으셨군요.				큐폴 레냐
QUEST_LV_0400_20180327_000083	現在該確認誓約的內容囉!{nl}尤德伊安的祭壇可以閱讀誓約的內容吧!{nl}	이제 서약의 내용을 확인할 차례군요.{nl}유데이안의 제단에서 서약을 볼 수 있죠.{nl}				큐폴 레냐
QUEST_LV_0400_20180327_000084	將誓約的石板放上尤德伊安的祭壇,並顯現出女神的誓約與魔族的誓約的內容吧!{nl}據說這樣就可以閱讀誓約的內容了.{nl}	유데이안의 제단에 서약의 석판을 올리고 여신의 서약과 마족의 서약을 띄우세요.{nl}그러면 서약의 내용을 읽을 수 있다고 전해 들었습니다.{nl}				큐폴 레냐
QUEST_LV_0400_20180327_000085	內容是甚麼, 救援者代表的意義是甚麼,我一概不知.{nl}但是, 拉伊瑪女神說要透過這個預言傳達些甚麼給你,不確定是甚麼但應該是非常重要的事情喔!	그게 무슨 내용일지, 구원자님께 어떤 의미가 있을지는 저도 모릅니다.{nl}하지만 라이마 여신이 예언을 통해 무언가를 보고 당신에게 전하고자 했으니 분명 중요한 일일 것입니다.				큐폴 레냐
QUEST_LV_0400_20180327_000086	誓約是千年以前.. 嗯不對,比那還要更久遠的以前,是個女神與魔族彼此締結的誓約 .{nl}可能你早就知道了,或著你根本連聽都沒聽過呀呵呵.{nl}	서약은 천 년.. 아니 그보다도 훨씬 전에 여신과 마족이 맺은 약속입니다.{nl}당신이 이미 알고 있을 수도, 처음 듣는 놀라운 사실일 수도 있어요.{nl}				큐폴 레냐
QUEST_LV_0400_20180327_000087	不確定內容是甚麼,只知道不管怎樣都一定要確實轉達給你知道.{nl}拉伊瑪女神是這樣吩咐我們的.	어떤 내용이라도 당신에게 전해져야 할 이야기라는 것만은 확실하겠죠.{nl}라이마 여신이 이렇게까지 준비해둔 일이니까요.				큐폴 레냐
QUEST_LV_0400_20180327_000088	要是我當初有聽拉伊瑪 女神的話,現在情況會不會就不同呢?{nl}雖然現在這樣講有點太遲了.	라이마 여신의 말에 더 귀 기울였더라면 뭔가 달라졌을까요?{nl}이미 늦은 일이지만요.				큐폴 레냐
QUEST_LV_0400_20180327_000089	確認誓約的內容了嗎?{nl}	서약의 내용은 확인하셨나요?{nl}				큐폴 레냐
QUEST_LV_0400_20180327_000090	我不知道誓約對你到底具有怎樣的意義呢.{nl}我只知道救援者絕對要知道這件事.{nl}	서약이 당신에게 어떤 의미가 있을지는 모르겠어요.{nl}다만 이 또한 구원자가 알아야 할 일이겠죠.{nl}				큐폴 레냐
QUEST_LV_0400_20180327_000091	我們的位來就掌握在你的手裡了.{nl}你做出的每一個選擇有可能會是能拯救這世界的每一步啊.{nl}	이제 앞으로 갈 길은 당신에게 달려있습니다.{nl}당신의 선택 하나하나가 세상을 구할 발걸음이 될 것입니다.{nl}				큐폴 레냐
QUEST_LV_0400_20180327_000092	願救援者的的未來充滿祝福..	구원자의 앞길에 축복을..				큐폴 레냐
QUEST_LV_0400_20180327_000093	凱都拉商團員艾達	케도라 상단원 알타				
QUEST_LV_0400_20180327_000094	因為擔心才過來的，但實在不想自己一個人進到那裡面去，{nl}所以我才這麼拜託你的。	걱정이 돼서 와 봤지만 혼자서는 저 안으로 들어갈 엄두가 안나는구먼.{nl}그러니 이렇게 자네에게 부탁하는 걸세.				케도라 상단원 알타
QUEST_LV_0400_20180327_000095	又不知道裡面有什麼，怎麼進去呢？{nl}還有那些怪物...	안에 뭐가 있을 지 어떻게 알고 들어가겠나.{nl}뻔히 저렇게 몬스터들이 있기도 하고..				케도라 상단원 알타
QUEST_LV_0400_20180327_000096	難民之間流傳著一個阿爾蘭必傳說，{nl}我想確認那傳說的真實性。	피난민들 사이에서 알렘빅 전설이라는 것이 돌고 있더라고.{nl}그 실체를 확인하고 싶었지.				케도라 상단원 알타
QUEST_LV_0400_20180327_000097	{nl}裡面說不定會有商團想要的物品...{nl}你如果要在這洞穴裡探險的話，就順便幫我找一下傭兵團，這對你我都有好處嘛。	{nl}상단에서 찾는 물건이 있을지도 모르고..{nl}자네도 이 동굴을 탐험할 거였으면 겸사겸사 기고 용병단을 찾아주면 서로 좋은 일 아닌가.				케도라 상단원 알타
QUEST_LV_0400_20180327_000098	{nl}這本書送你。{nl}別什麼都不知道就進去，這本書應該對你會有點幫助。	{nl}대신 이 책을 주겠네.{nl}아무 것도 모르고 들어가는 것 보다는 조금이나마 도움이 될테니 말이야.				케도라 상단원 알타
QUEST_LV_0400_20180327_000099	祭司 林塔斯	사제 린타스				
QUEST_LV_0400_20180327_000100	祭司林塔斯正在修改紀念碑的內容。{nl}作業時間變長了。	사제 린타스가 기념비의 내용을 수정 중이다.{nl}꽤 작업이 길어지고 있다.				사제 린타스
QUEST_LV_0400_20180327_000101	托你的福，修正完紀念碑了。{nl}現在是該掌握一下祭司奇達斯和布魯納斯的進行狀況了。	덕분에 기념비를 수정했습니다.{nl}사제 키다스와 브루나스의 진행 상황을 알아봐야겠습니다.				사제 린타스
QUEST_LV_0400_20180327_000102	烏格尼斯	우그니스				
QUEST_LV_0400_20180327_000103	雖然得到幫助，卻還是找不著造箭者之箭。{nl}先整理好這邊的事情，回到師父那去吧。	도움을 받아도 플레세트는 못 찾았어요.{nl}일단 여기 일을 좀 정리해서 스승님께 돌아갈 겁니다.				우그니스
QUEST_LV_0400_20180327_000104	亞奎爾拉斯	아퀼라스				
