QUEST_LV_0300_20180327_000029	人稱安基納斯，希望你能向得到永生的人詢問看看。{nl}同樣身為大師的我前去尋訪不太好，而且我們分散各地各過各的生活不是嗎？	암지나스라고, 영생을 사는 사람들에게 네가 물어봐 주었으면 좋겠어.{nl}같은 마스터가 찾아가는 건 모양새도 좋지 않고, 너무 제각각 흩어져 지내잖아?				소서러 마스터
QUEST_LV_0300_20180327_000030	所在地確實的安基納斯是夏奧雷伊西邊森林的雕刻家泰斯拉、{nl}謬樂斯通道的死靈法師大師、以及碑石路的時空法師大師。拜託你了。	그나마 소재가 확실한 암지나스는 샤울레이 서쪽 숲의 조각가 테슬라랑..{nl}뮬러스 통로의 네크로맨서 마스터, 비석로의 크로노맨서 마스터야. 부탁할게.				소서러 마스터
QUEST_LV_0300_20180327_000031	果然，即使是相同的安基納斯也完全不同。{nl}看來我應該多想想再找。{nl}	과연, 같은 암지나스라도 전혀 다르구나.{nl}나도 더 넓게 생각하고 찾아봐야겠는 걸.{nl}				소서러 마스터
QUEST_LV_0300_20180327_000032	總之真的很感謝你幫助我的研究。{nl}我將把巫師的最後階段教給你作為報答。	어쨌든 내 연구를 도와줘서 정말 고마워.{nl}보답으로 소서러의 마지막 단계에 대해 가르쳐 줄게.				소서러 마스터
QUEST_LV_0300_20180327_000033	您來找我是為了學習時空法師的高級魔法啊。{nl}但我目前在幫助溫特史普恩家門的堂主拜杜塔斯，所以要幫你有點困難。{nl}	크로노맨서의 고위 마법을 배우기 위해 찾아오셨군요.{nl}하지만 지금은 윈터스푼 가문의 당주인 바이도타스를 돕고 있어서 조금 곤란하네요.{nl}				크로노맨서 마스터
QUEST_LV_0300_20180327_000034	如果你願意，可以幫忙調查水晶礦山嗎？{nl}這樣我就能趕快把事情完成然後幫助你。	괜찮다면 수정광산 조사를 도와주시겠어요?{nl}그렇다면 빨리 일을 마치고 당신을 도울 수 있을 테니까요.				크로노맨서 마스터
QUEST_LV_0300_20180327_000035	請帶著這個寶珠勘查水晶礦山礦區1與礦區2的所有區域。{nl}如果你在過去已經徹底勘查過，只要記錄在寶珠中就行了。	이 보주를 가지고 수정광산 1광구와 2광구의 모든 지역을 탐색하세요.{nl}만약 당신이 과거에 이미 완벽히 탐색해두었다면 보주에 기록만 하시면 될 겁니다.				크로노맨서 마스터
QUEST_LV_0300_20180327_000036	確實記錄下來了。{nl}很好，我會把它交給拜杜塔斯。{nl}	확실히 기록되었네요. {nl}좋아요, 이건 제가 바이도타스에게 전해주도록 하겠어요.{nl}				크로노맨서 마스터
QUEST_LV_0300_20180327_000037	現在輪到我幫助你了。	이제 제가 당신을 도울 차례군요.				크로노맨서 마스터
QUEST_LV_0300_20180327_000038	死者著邪念…只要是死靈法師，任誰都想擁有它。{nl}尤其是失去主人的遺物更是如此。{nl}	죽은 자의 사념.. 네크로맨서라면 누구나 갖고 싶어 하지.{nl}특히 주인 잃은 유품이라면 더더욱 말이다.{nl}				네크로맨서 마스터
QUEST_LV_0300_20180327_000039	不知道為什麼，有一股強烈的怨念在巴伊坦帝斯神堂縈繞。{nl}如果你把它帶過來，我就引領你到更高的境界。	무슨 일인지 몰라도 바이덴티스 신당엔 강한 원념이 소용돌이 치더군.{nl}그걸 구해온다면 널 더 높은 경지로 이끌어 주겠어.				네크로맨서 마스터
QUEST_LV_0300_20180327_000040	越是冤屈或是對世間有所迷戀的冤魂，其遺留下來的遺物所散發的力量就越強。{nl}把散發強烈迷戀氣其的遺物找回來就行了。	억울하거나 삶에 미련이 많은 영혼일수록 남은 유품이 강한 힘을 발휘하지.{nl}그런 강한 미련이 느껴지는 유품을 찾아오면 돼.				네크로맨서 마스터
QUEST_LV_0300_20180327_000041	如果你能加強辨識此物的能力就能成為強大的死靈法師。{nl}為了答謝你幫忙取得此物我就幫你一把。	너도 이런 물건을 보는 안목을 더 키운다면 강한 네크로맨서가 될 수 있을거야.{nl}지금은 이 물건에 대한 보답으로 내가 조금 도와주도록 하지.				네크로맨서 마스터
QUEST_LV_0300_20180327_000042	啊，您來得正好。{nl}我正在調查水晶礦山，有毒氣體再度外洩了。{nl}	아, 마침 잘 오셨습니다.{nl}수정광산을 조사하고 있는데, 유독가스가 다시 새어나오고 있더군요.{nl}				바이도타스
QUEST_LV_0300_20180327_000043	如果有你的幫忙，我應該很快就能完成調查。{nl}而這也是驗證你身為鍊金術士的能力的好機會。	당신이 제 일을 도와 주신다면 조사를 빨리 마칠 수 있을 것 같군요.{nl}알케미스트로서 당신의 실력을 검증하는 좋은 기회도 되고요.				바이도타스
QUEST_LV_0300_20180327_000044	很好。{nl}我先製造能中和有毒蒸氣的中和劑。{nl}	좋습니다.{nl}일단 유독증기를 중화할 중화제부터 만들어 보도록 하지요.{nl}				바이도타스
QUEST_LV_0300_20180327_000045	我來做準備，材料就拜託您了。{nl}需要的材料和位置我會另外寫給您。	준비는 제가 할 테니 재료를 부탁합니다.{nl}필요한 재료와 위치는 제가 따로 적어 드리지요.				바이도타스
QUEST_LV_0300_20180327_000046	有這些就夠了。{nl}多虧有您，大概很快就能完成。{nl}	이 정도면 충분하군요.{nl}덕분에 일을 빨리 마칠 수 있을 것 같습니다.{nl}				바이도타스
QUEST_LV_0300_20180327_000047	萃取成分應該會花一點時間.. {nl}我趁這段時間把新的煉金術傳授給您。	성분을 뽑아내는데 시간이 좀 걸릴 테니.. {nl}그 동안 새로운 연금술을 가르쳐 드리지요.				바이도타스
QUEST_LV_0300_20180327_000048	你來得正好。{nl}你想達到.. 流氓的最後階段吧？{nl}	잘 왔어.{nl}로그의 마지막 단계.. 그걸 원하는거지?{nl}				로그 마스터
QUEST_LV_0300_20180327_000049	我這有件一舉兩得的事，正好能驗證 {nl}你做為流氓的實力，而且也能解決我的問題。{nl}	마침 로그로서의 실력 검증도 할 겸.. {nl}내 문제도 해결할 수 있는 일석이조의 일이 있거든.{nl}				로그 마스터
QUEST_LV_0300_20180327_000050	斥候大師和我原本是彼此唯一的朋友，{nl}但現在卻變得有點尷尬。{nl}	스카우트 마스터와 나는 한 땐 둘도 없는 친구였어.{nl}지금은 조금 어색해졌지만 말야.{nl}				로그 마스터
QUEST_LV_0300_20180327_000051	我打算送些禮物恢復我們的關係..{nl}所以想製作斥候大師喜歡的東西。{nl}	뭔가 선물이라도 주면서 관계를 되돌려 보려고 하는데..{nl}스카우트 마스터가 좋아할 만한 걸 만들어주고 싶거든.{nl}				로그 마스터
QUEST_LV_0300_20180327_000052	你能幫忙取得我拜託你的東西嗎？	그러니 내가 부탁하는 걸 좀 구해주지 않겠어?				로그 마스터
QUEST_LV_0300_20180327_000053	很好。可以向阿勒篾森林的怪物取得散發果香的碎片。{nl}你把它偷偷裝在這個袋子裡帶過來給我。{nl}	좋아. 알레멧 숲의 몬스터에게서 과일향이 나는 조각을 구할 수 있어.{nl}그걸 이 주머니에다가 몰래 담아오는 거야.{nl}				로그 마스터
QUEST_LV_0300_20180327_000054	要是怪物死亡..{nl}就會沾染難聞的氣味，所以必須趁牠還有一口氣的時候取得。{nl}	하지만 몬스터가 죽어버리기라도 하면..{nl}좋지 않은 냄새가 배길 수 있으니까 숨이 붙어있을 때 꺼내야해.{nl}				로그 마스터
QUEST_LV_0300_20180327_000055	給你一點提示，基本上這種事必須從對象的背後下手。{nl}懂了嗎？	조금 힌트를 주자면 이런 일은 상대의 뒤를 잡는 게 기본이야.{nl}잘 알겠지?				로그 마스터
QUEST_LV_0300_20180327_000056	你果然不負我的期待順利收集到了。{nl}既然你有這種能耐，學習最後的技能應該不成問題。	역시 내 기대대로 잘 모아왔군.{nl}그 정도라면 마지막 기술을 배우는 것도 문제 없을 거야.				로그 마스터
QUEST_LV_0300_20180327_000057	依你的能耐應該綽綽有餘了..{nl}	당신 수준이라면 이미 차고 넘치건만..{nl}				플레쳐 마스터
QUEST_LV_0300_20180327_000058	嗯，好吧。{nl}請您諒解一件事，依您的程度，如果想得到我的傳授就得付出不小的代價。{nl}	뭐, 좋소. {nl}당신 수준에서 가르침을 받을 만한 일이라면 그 대가도 쉽지 않다는 걸 알아 주시오.{nl}				플레쳐 마스터
QUEST_LV_0300_20180327_000059	我從以前就一直在尋找首任造箭者大師製造的箭。{nl}那支箭足以當作禮物送給利迪亞夏班，蘊藏其中的箭技可非比尋常。{nl}	난 예전부터 초대 플레쳐 마스터가 만든 화살을 찾고 있소.{nl}리디아 샤펜에게 선물해 줄 정도의 화살이니 거기에 담긴 기술은 보통이 아니겠지.{nl}				플레쳐 마스터
QUEST_LV_0300_20180327_000060	有關於那支箭的材料，我最近聽到不錯的情報..{nl}如果想派人做這件事，必須先找到懂得那支箭的價值的人。{nl}	최근에 그 소재에 대한 그럴듯한 정보를 들었는데..{nl}이 일을 시키려면 그 화살의 가치를 알아볼 수 있는 사람이어야 하지 않겠소.{nl}				플레쳐 마스터
QUEST_LV_0300_20180327_000061	聽說是在卡勒埃原野。{nl}據說那支箭是用來對付某種凶暴的怪物，你最好小心一點。	갈르엣 평야라고 들었소.{nl}무언가 흉폭한 몬스터를 상대하는데 사용했다고 하니 주의하는 게 좋겠지.				플레쳐 마스터
QUEST_LV_0300_20180327_000062	哦，一看就知道這支箭有多厲害。{nl}真想馬上研究這支箭，但我得先履行和你之間的約定。{nl}	오. 슬쩍 봐도 얼마나 굉장한지 알겠군.{nl}당장이라도 이 화살을 연구하고 싶지만, 자네와의 약속이 먼저겠지.{nl}				플레쳐 마스터
QUEST_LV_0300_20180327_000063	來… 我們慢慢開始吧。	자.. 어디 천천히 시작해 봅시다.				플레쳐 마스터
QUEST_LV_0300_20180327_000064	我身為馴鷹者大師，正藉由各種嘗試來尋找讓馴鷹者變得更強的方法。{nl}最近我正在思考能否利用那些飛來飛去的怪物。{nl}	응사 마스터로서 다양한 시도를 통해 응사들이 더욱 강해지는 방법을 찾고 있어.{nl}요즘 생각하고 있는 게 날아다니는 몬스터들을 써먹을 순 없을까 하는 것이지.{nl}				응사 마스터
QUEST_LV_0300_20180327_000065	當然，我很滿意我的夥伴里斯.. {nl}但我認為這種嘗試也對馴鷹者有幫助。	물론 내 파트너 리쓰에게 만족하고 있지만.. {nl}이런 시도는 응사들에게도 도움이 될 수 있다고 생각해.				응사 마스터
QUEST_LV_0300_20180327_000066	在馴服老鷹的時候給牠飼料行得通嗎？{nl}我不抱太大的期望，你先去試看看吧。{nl}	매를 길들일 때 처럼 먹이라도 줘보면 되지 않을까?{nl}큰 기대는 하고 있지 않으니 일단 가서 시도라도 해보는게 좋겠어.{nl}				응사 마스터
QUEST_LV_0300_20180327_000067	我已經放入足夠的飼料，請你至少對三種怪物試試看。	먹이는 넉넉히 넣어두었으니까 적어도 세 종류의 몬스터에게는 시도해봐.				응사 마스터
QUEST_LV_0300_20180327_000068	還是失敗了嗎.. {nl}雖然可惜，但這是預料中的事。{nl}	역시 실패했나.. {nl}아쉽지만 예상했던 거야.{nl}				응사 마스터
QUEST_LV_0300_20180327_000069	無論結果如何，我都得回饋你的努力。{nl}我認為傳授新技能是我所能給予的最大的獎勵，你覺得呢？	결과야 어찌되었든 네 노력에는 보답해야겠지?{nl}새로운 기술 전수라면 내가 줄 수 있는 가장 큰 보상이라 생각하는데, 어때?				응사 마스터
QUEST_LV_0300_20180327_000070	確實射中敵人..{nl}如果想說自己是有點能耐的黑暗騎兵，這算是基本的吧。{nl}	확실하게 적을 쏘아 맞추는 것..{nl}자신이 좀 쏜다고 하는 슈바르츠라이터라고 말하려면 그건 기본인 셈이지.{nl}				슈바르츠라이터 마스터
QUEST_LV_0300_20180327_000071	再加上你說想學新技能.. {nl}那麼，至少必須閉著眼睛也能射中任何敵人，不是嗎？{nl}	게다가 새로운 기술을 배우고 싶다니.. {nl}적어도 어떤 적이든 눈 감고도 맞출 정돈 되어야 하지 않겠나.{nl}				슈바르츠라이터 마스터
QUEST_LV_0300_20180327_000072	不過我們不是瞎子，不一定要做到那樣。{nl}	하지만 우린 장님이 아니니 굳이 그럴 것 까진 없지.{nl}				슈바르츠라이터 마스터
QUEST_LV_0300_20180327_000073	你有自信的樣子我很滿意。{nl}但我必須確認你是不是只會耍嘴皮子。{nl}	자신감은 마음에 드는군.{nl}하지만 입만 산 건 아닌 지 확인해 봐야겠어.{nl}				슈바르츠라이터 마스터
QUEST_LV_0300_20180327_000074	如果你能完美地連續命中敵人，我就肯定你的能耐。{nl}你就連續命中200次左右吧…？ 連我都覺得這太簡單了。	적에게 실수없이 연속으로 명중시키고 온다면 인정하도록 하지.{nl}한 200번 정도..? 내가 생각해도 너무 쉽군.				슈바르츠라이터 마스터
QUEST_LV_0300_20180327_000075	果然！ 你不是在說大話。{nl}既然你有這種能耐，我教你就有意義了。	과연! 허세가 아니었어.{nl}그 정도 실력이라면 나도 가르치는 보람이 있지.				슈바르츠라이터 마스터
QUEST_LV_0300_20180327_000076	真正的武僧之路..{nl}必須禁得住把自己逼到極限的嚴酷修練才能看見。{nl}	진정한 몽크의 길이란..{nl}자신을 한계까지 몰아세우는 혹독한 수련을 견뎌야 보이는 법이라오.{nl}				몽크 마스터
QUEST_LV_0300_20180327_000077	如果你願意挑戰，我馬上開始。{nl}準備好之後請答覆我一聲。	그대가 도전하겠다고 한다면 바로 시작하도록 하겠소.{nl}준비가 되었다면 대답해 주길 바라오.				몽크 마스터
QUEST_LV_0300_20180327_000078	你最好趕緊採取行動。{nl}如果不能在限制時間內消滅足夠的怪物就必須從頭算起。	나와 이럴 게 아니라 서두르는 게 좋을 거요.{nl}제한 시간 내에 충분한 몬스터를 처치하지 못하면 처음부터 다시 셀 테니까.				몽크 마스터
QUEST_LV_0300_20180327_000079	厲害。{nl}現在你只要跟我學一手就行了。	훌륭하오.{nl}그럼 이제 나에게 한 수 배우는 일만 남았군.				몽크 마스터
QUEST_LV_0300_20180327_000080	我知道你已經準備好要成為了不起的寬恕者..{nl}但是有一件更重要的大事。{nl}	당신이 훌륭한 파드너가 될 준비가 다 되었다는 건 알고 있지만..{nl}그보다 더 큰일이 있어서 말입니다.{nl}				파드너 마스터
QUEST_LV_0300_20180327_000081	唉，這無禮的怪物把我的捐款帳簿全都撕毀了。{nl}因為這個緣故，現在連處理其他業務都很麻煩。{nl}	글쎄, 이 불경한 몬스터들이 제 헌금 장부를 다 찢어놓았어요.{nl}이것 때문에 지금 다른 업무를 보는 것도 힘이 들고요.{nl}				파드너 마스터
QUEST_LV_0300_20180327_000082	如果您真的很急，我把地點告訴您，請您幫忙把備用帳簿帶來給我。{nl}雖然這是機密，但我們這段時間很投緣，而且我認為您是值得相信的人。	정 급하시다면 제가 장소를 알려 줄 테니 예비 장부를 가져와 주세요.{nl}이런 건 비밀이지만, 당신과 그동안의 인연도 있고 믿을만한 사람이라고 생각하고 있으니까요.				파드너 마스터
QUEST_LV_0300_20180327_000083	備用帳簿就在艾高斯修道院分館。{nl}	예비 장부는 엘고스 수도원 별관에 있어요.{nl}				파드너 마스터
QUEST_LV_0300_20180327_000084	為防萬一不讓有心人拿走，我把它藏在書裡..{nl}而且也放了幾本假帳簿，請您仔細找找再帶來給我。	행여나 엉뚱한 사람들이 가져가지 못하도록 책 속에 숨겨두거나..{nl}가짜 장부도 여럿 놓아두었으니 잘 찾아 가지고 오세요.				파드너 마스터
QUEST_LV_0300_20180327_000085	您順利找到啦。{nl}既然急事已經處理好，我就藉此事肯定您。	제대로 찾아오셨군요.{nl}급한 일은 처리했으니 이걸로 당신을 인정하겠습니다.				파드너 마스터
QUEST_LV_0300_20180327_000086	您來得正好。{nl}我剛好在找人協助我進行研究。{nl}	마침 잘 오셨어요.{nl}안그래도 제 연구를 도와주실 분을 찾고 있었거든요.{nl}				드루이드 마스터
QUEST_LV_0300_20180327_000087	神樹之日結束後已經過了4年..{nl}災難的影響不但沒平息，反而越來越難控制。{nl}	신수의 날이 끝난 지가 벌써 4년이나 지났는데..{nl}재앙의 여파는 수그러들기는 커녕 점점 더 날뛰고 있습니다.{nl}				드루이드 마스터
QUEST_LV_0300_20180327_000088	尤其是成長過多的植物變成怪物造成很大的傷害。{nl}為了找出解決之道，我正持續進行實驗。{nl}	특히 과다하게 자란 식물들이 몬스터로 변하면서 많은 피해를 끼치고 있어요.{nl}전 이걸 해결할 방법을 찾기 위해서 계속 연구 중이고요.{nl}				드루이드 마스터
QUEST_LV_0300_20180327_000089	如果您協助我進行實驗，我就把德魯伊的下一個階段傳授給您。{nl}這對您來說應該也是很合適的課題。	제 연구를 도와주신다면 드루이드의 다음 단계에 대해 가르쳐 드릴게요.{nl}당신에게도 이만하면 적당한 과제가 될 것 같군요.				드루이드 마스터
QUEST_LV_0300_20180327_000090	請您消滅變成怪物的植物並取得標本。{nl}消滅越強的怪物就能取得更多標本。	몬스터가 된 식물들을 처치하고 표본을 구해 주세요.{nl}강한 몬스터일수록 더 많은 표본을 얻을 수 있을 겁니다.				드루이드 마스터
QUEST_LV_0300_20180327_000091	原本以為這是很困難的委託，不過您帶回來的標本還真棒。{nl}既然您已經協助我進行實驗，我就依照約定幫助您。	어려운 부탁이라 생각했는데, 훌륭한 표본들이네요.{nl}제 연구를 도와주셨으니 약속대로 당신을 돕도록 하죠.				드루이드 마스터
QUEST_LV_0300_20180327_000092	我知道您找我有什麼事..{nl}但現在有更重要的事。{nl}	제게 어떤 용무가 있는지는 알고 있습니다만..{nl}지금은 그보다 더 중요한 일이 있습니다.{nl}				오라클 마스터
QUEST_LV_0300_20180327_000093	我原本是藉由神聖力在觀察一個地方，那裡的邪惡氣息突然開始增強。{nl}最後連千里眼都行不通了。{nl}	신성력으로 살펴보던 장소에 갑자기 사악한 기운이 강해지기 시작했습니다.{nl}결국엔 클레어보이언스마저 통하지 않기 시작했지요.{nl}				오라클 마스터
QUEST_LV_0300_20180327_000094	您能幫忙消滅那股邪惡氣息嗎？{nl}只要您幫我做這件事，我就答應讓您達到神諭師的下一個境界。	당신이 그 사악한 기운을 처리해 주실 순 없겠습니까.{nl}이것만 도와주신다면 오라클의 다음 경지에 닿을 수 있도록 약속드리겠습니다.				오라클 마스터
QUEST_LV_0300_20180327_000095	有問題的地方是卡勒埃原野。{nl}把我給您的淨化的那姆特立在邪惡氣息強烈之處就行了。	문제가 되고 있는 곳은 갈르엣 평야입니다.{nl}제가 드린 정화의 나모트를 사악한 기운이 강한 곳에 세워 주시면 됩니다.				오라클 마스터
QUEST_LV_0300_20180327_000096	把這件事交給您辦果然是對的。{nl}我就依照約定引領您到神諭師的下一個境界。	역시 당신에게 맡기길 잘했다는 생각이 드네요.{nl}약속드린대로 오라클의 다음 경지로 이끌어 드리지요.				오라클 마스터
QUEST_LV_0300_20180327_000097	好，我馬上開始。{nl}	좋소, 바로 시작하겠소.{nl}				몽크 마스터
QUEST_LV_0300_20180327_000098	您必須在限制時間內持續與怪物戰鬥。{nl}您所消滅的強大怪物越多，我就承認您所進行的是艱辛的修練。{nl}	제한 시간 내에 몬스터와 계속해서 전투를 해야하는 일이오.{nl}강한 몬스터를 처치할수록 힘든 수련을 했다고 인정해 주겠소.{nl}				몽크 마스터
QUEST_LV_0300_20180327_000099	請注意，萬一無法在限制時間內完成，就必須從頭重新開始。	만약 제한 시간 내에 해내지 못한다면 처음부터 다시 시작해야 하니 주의하시오.				몽크 마스터
QUEST_LV_0300_20180327_000100	龍騎士大師	드라군 마스터				
QUEST_LV_0300_20180327_000101	當敵人當前，無法想像龍騎士會畏縮吧。{nl}尤其是被逼入危機時，龍騎士需要更強的勇氣來驅趕敵人。{nl}	드라군이 적을 상대로 물러선다는 건 생각할 수도 없죠.{nl}특히 위기에 몰려도 더 강하게 몰아세울 수 있는 용기도 필요하고요.{nl}				드라군 마스터
